Star,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,U-B,B-V,V-R,R-I,e_Vmag,e_U-B,e_B-V,e_V-R,e_R-I,Nobs,GBP,G,GRP
[CS62] E7 16,17,25,41.7,-,45,15,58,8.093,0.216,0.243,0.142,0.147,0.003,0.005,0.002,0.002,0.003,10,8.194430351257324,8.055486679077148,7.853878021240234
[CS62] E7 11,17,27,58.3,-,44,43,15,8.644,0.199,0.319,0.17,0.169,0.003,0.004,0.002,0.002,0.003,9,8.754923820495605,8.583765983581543,8.326683044433594
[CS62] E7 64,17,28,39.2,-,46,53,32,9.411,1.22,1.549,1.12,1.321,0.004,0.012,0.009,0.009,0.004,8,20.75650405883789,20.841482162475586,19.46927261352539
[CS62] E7 7,17,26,53.4,-,44,42,7,9.992,-0.269,0.065,0.069,0.089,0.005,0.007,0.006,0.004,0.006,11,10.02991771697998,9.996938705444336,9.940943717956543
[CS62] E7 8,17,26,15.9,-,45,10,29,10.543,0.058,0.172,0.114,0.124,0.009,0.008,0.004,0.002,0.011,8,10.613621711730957,10.504830360412598,10.311749458312988
[CS62] E7 52,17,27,25.9,-,44,55,16,10.777,-0.417,0.024,0.031,0.028,0.003,0.006,0.006,0.004,0.008,9,10.759795188903809,10.749576568603516,10.719365119934082
[CS62] E7 b,17,27,24.4,-,45,5,27,10.956,0.388,0.612,0.413,0.424,0.005,0.005,0.006,0.002,0.003,3,11.129358291625977,10.72712516784668,10.17099666595459
[CS62] E7 m,17,27,21.6,-,45,1,27,12.498,1.322,1.316,0.69,0.605,0.009,0.046,0.005,0.002,0.002,3,12.794410705566406,12.093134880065918,11.29875659942627
[CS62] E7 s,17,27,24.1,-,45,1,52,14.225,0.223,0.664,0.389,0.379,0.033,0.005,0.008,0.008,0.003,4,14.456450462341309,14.093846321105957,13.56767749786377
[CS62] E7 u,17,27,14.8,-,45,2,44,15.013,0.118,0.572,0.341,,0.021,0.012,0.009,0.044,,3,15.210529327392578,14.895926475524902,14.409825325012207
[CS62] E8 61 *,20,13,53.4,-,45,9,51,7.971,1.213,1.428,0.921,0.917,0.005,0.008,0.006,0.004,0.002,10,-99.9,-99.9,-99.9
[CS62] E8 40,20,6,55.1,-,44,18,11,8.093,1.55,1.405,0.752,0.675,0.006,0.017,0.006,0.005,0.004,8,8.370227813720703,7.592443943023682,6.776462078094482
