# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue Apr 13 07:44:16 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.30103 0.2925800979 1.9378111362    0.292 -1.501  3.4850  4.298    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.26e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.524 13.935 12.647 11.210 9.863 8.240 6.609 5.997 5.704
0.0152 0.01508 7.30103 0.3000000119 1.9529139996    0.300 -1.485  3.4868  4.300    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.483 13.853 12.568 11.130 9.793 8.187 6.573 5.960 5.669
0.0152 0.01508 7.30103 0.3148775399 1.9817830324    0.315 -1.456  3.4901  4.304    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.59e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.409 13.705 12.425 10.986 9.669 8.090 6.508 5.891 5.605
0.0152 0.01508 7.30103 0.3500000238 2.0434176922    0.350 -1.389  3.4973  4.312    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.14e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.242 13.390 12.119 10.694 9.417 7.881 6.356 5.731 5.454
0.0152 0.01508 7.30103 0.3966873288 2.1139135361    0.397 -1.311  3.5058  4.322    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.81e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.048 13.037 11.773 10.362 9.129 7.643 6.181 5.546 5.280
0.0152 0.01508 7.30103 0.4000000358 2.1185026169    0.400 -1.306  3.5063  4.323    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.035 13.015 11.750 10.340 9.110 7.628 6.170 5.534 5.269
0.0152 0.01508 7.30103 0.4110713899 2.1334877014    0.411 -1.289  3.5084  4.326    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.01e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.992 12.935 11.672 10.265 9.045 7.575 6.131 5.493 5.230
0.0152 0.01508 7.30103 0.4500000477 2.1822810173    0.450 -1.231  3.5151  4.334    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.58e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.847 12.680 11.416 10.017 8.829 7.400 6.002 5.357 5.101
0.0152 0.01508 7.30103 0.4580756724 2.1917181015    0.458 -1.220  3.5165  4.336    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.819 12.630 11.365 9.968 8.786 7.366 5.978 5.331 5.076
0.0152 0.01508 7.30103 0.5000000000 2.2374541759    0.500 -1.163  3.5234  4.346    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.3e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.678 12.384 11.114 9.722 8.571 7.195 5.854 5.198 4.950
0.0152 0.01508 7.30103 0.5235671997 2.2604968548    0.523 -1.132  3.5276  4.351    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.66e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.599 12.248 10.972 9.583 8.450 7.100 5.786 5.126 4.882
0.0152 0.01508 7.30103 0.5500000119 2.2836582661    0.550 -1.096  3.5317  4.353    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.15e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.510 12.102 10.821 9.436 8.320 6.996 5.708 5.043 4.802
0.0152 0.01508 7.30103 0.5719175339 2.3010079861    0.572 -1.069  3.5355  4.359    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.48e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.444 11.986 10.699 9.317 8.216 6.916 5.651 4.982 4.745
0.0152 0.01508 7.30103 0.6000000238 2.3211214542    0.600 -1.033  3.5402  4.362    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.353 11.836 10.542 9.164 8.081 6.810 5.572 4.898 4.665
0.0152 0.01508 7.30103 0.6017648578 2.3223135471    0.602 -1.031  3.5405  4.362    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.348 11.827 10.532 9.154 8.072 6.804 5.568 4.893 4.661
0.0152 0.01508 7.30103 0.6423220038 2.3476469517    0.642 -0.977  3.5486  4.369    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.212 11.598 10.285 8.911 7.858 6.644 5.454 4.771 4.547
0.0152 0.01508 7.30103 0.6499999762 2.3520355225    0.650 -0.967  3.5500  4.370    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.188 11.557 10.241 8.868 7.821 6.616 5.434 4.749 4.527
0.0152 0.01508 7.30103 0.6987501979 2.3773314953    0.699 -0.888  3.5627  4.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.990 11.228 9.878 8.506 7.499 6.386 5.271 4.574 4.364
