# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue Apr 13 07:45:07 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.60206 0.0900000036 1.0816895962    0.090 -2.472  3.4039  4.432    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.7e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.950 18.872 17.053 15.470 13.534 11.384 8.894 8.308 7.949
0.0152 0.01508 7.60206 0.0934586823 1.1140182018    0.093 -2.447  3.4068  4.435    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.01e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.887 18.814 16.992 15.408 13.471 11.321 8.831 8.245 7.886
0.0152 0.01508 7.60206 0.1000000015 1.1711064577    0.100 -2.399  3.4124  4.439    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.768 18.700 16.874 15.290 13.352 11.201 8.711 8.125 7.766
0.0152 0.01508 7.60206 0.1073536128 1.2297534943    0.107 -2.351  3.4179  4.443    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.648 18.520 16.706 15.123 13.200 11.060 8.594 8.008 7.650
0.0152 0.01508 7.60206 0.1200000122 1.3193155527    0.120 -2.273  3.4269  4.450    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.453 17.965 16.233 14.662 12.824 10.749 8.416 7.827 7.475
0.0152 0.01508 7.60206 0.1400000006 1.4384527206    0.140 -2.167  3.4390  4.459    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.189 17.209 15.583 14.040 12.316 10.331 8.176 7.584 7.242
0.0152 0.01508 7.60206 0.1599999964 1.5372931957    0.160 -2.079  3.4489  4.468    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.966 16.613 15.063 13.542 11.906 9.994 7.974 7.379 7.046
0.0152 0.01508 7.60206 0.2175460905 1.7502229214    0.218 -1.877  3.4705  4.487    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.463 15.393 13.971 12.481 11.023 9.280 7.517 6.914 6.605
0.0152 0.01508 7.60206 0.2457301319 1.8293658495    0.246 -1.798  3.4786  4.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.266 14.957 13.572 12.093 10.695 9.017 7.337 6.731 6.431
0.0152 0.01508 7.60206 0.2696372569 1.8877695799    0.270 -1.740  3.4846  4.499    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.119 14.647 13.281 11.805 10.447 8.824 7.206 6.596 6.303
0.0152 0.01508 7.60206 0.2792747319 1.9094403982    0.279 -1.718  3.4869  4.501    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.065 14.532 13.173 11.696 10.354 8.753 7.158 6.546 6.256
0.0152 0.01508 7.60206 0.2907268703 1.9339611530    0.291 -1.691  3.4895  4.502    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.69e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.997 14.393 13.043 11.567 10.242 8.666 7.097 6.484 6.197
0.0152 0.01508 7.60206 0.3000000119 1.9529139996    0.300 -1.670  3.4916  4.504    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.78e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.946 14.292 12.948 11.475 10.163 8.601 7.050 6.435 6.151
0.0152 0.01508 7.60206 0.3125457168 1.9773768187    0.312 -1.644  3.4941  4.506    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.88e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.881 14.171 12.833 11.365 10.067 8.522 6.991 6.374 6.093
0.0152 0.01508 7.60206 0.3500000238 2.0434176922    0.350 -1.572  3.5011  4.511    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.701 13.836 12.515 11.063 9.804 8.303 6.826 6.204 5.931
0.0152 0.01508 7.60206 0.3775706887 2.0864226818    0.378 -1.523  3.5061  4.514    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.44e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.577 13.611 12.299 10.856 9.623 8.154 6.713 6.087 5.820
0.0152 0.01508 7.60206 0.4000000358 2.1185026169    0.400 -1.485  3.5099  4.517    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.482 13.441 12.135 10.700 9.487 8.041 6.627 5.997 5.735
0.0152 0.01508 7.60206 0.4500000477 2.1822810173    0.450 -1.400  3.5188  4.518    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.16e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.270 13.072 11.774 10.351 9.179 7.790 6.436 5.797 5.544
0.0152 0.01508 7.60206 0.4770605266 2.2130758762    0.477 -1.356  3.5239  4.520    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.46e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.159 12.878 11.582 10.164 9.015 7.659 6.338 5.694 5.445
0.0152 0.01508 7.60206 0.5000000000 2.2374541759    0.500 -1.320  3.5278  4.520    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.73e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.070 12.729 11.432 10.019 8.887 7.556 6.259 5.611 5.365
0.0152 0.01508 7.60206 0.5125037432 2.2499830723    0.512 -1.301  3.5302  4.521    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.88e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.022 12.643 11.346 9.936 8.814 7.499 6.217 5.567 5.323
0.0152 0.01508 7.60206 0.5478197336 2.2818450928    0.547 -1.239  3.5371  4.516    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.47e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.868 12.390 11.090 9.690 8.594 7.322 6.080 5.423 5.185
0.0152 0.01508 7.60206 0.5500000119 2.2836582661    0.550 -1.235  3.5376  4.516    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.51e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.858 12.375 11.074 9.674 8.581 7.310 6.071 5.414 5.177
0.0152 0.01508 7.60206 0.5688200593 2.2986493111    0.569 -1.203  3.5419  4.515    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.777 12.237 10.932 9.537 8.459 7.216 6.001 5.341 5.107
0.0152 0.01508 7.60206 0.6000000238 2.3211214542    0.600 -1.139  3.5501  4.507    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.64e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.617 11.974 10.659 9.271 8.222 7.033 5.863 5.195 4.968
