482.0	2.056	5.098E+16
483.0	2.029	5.147E+16
484.0	1.994	5.196E+16
485.0	1.934	5.243E+16
486.0	1.671	5.284E+16
487.0	1.785	5.327E+16
488.0	1.906	5.374E+16
489.0	1.861	5.420E+16
490.0	1.994	5.469E+16
491.0	1.949	5.517E+16
492.0	1.886	5.564E+16
493.0	1.959	5.612E+16
494.0	1.951	5.661E+16
495.0	2.023	5.711E+16
496.0	1.966	5.760E+16
497.0	1.969	5.810E+16
498.0	1.928	5.858E+16
499.0	1.920	5.906E+16
500.0	1.913	5.954E+16
501.0	1.868	6.001E+16
502.0	1.871	6.049E+16
503.0	1.924	6.097E+16
504.0	1.860	6.144E+16
505.0	1.945	6.194E+16
506.0	2.009	6.245E+16
507.0	1.944	6.295E+16
508.0	1.899	6.343E+16
509.0	1.951	6.393E+16
510.0	1.921	6.442E+16
511.0	1.943	6.492E+16
512.0	1.969	6.543E+16
513.0	1.879	6.591E+16
514.0	1.834	6.639E+16
515.0	1.874	6.687E+16
516.0	1.845	6.735E+16
517.0	1.611	6.777E+16
518.0	1.725	6.822E+16
519.0	1.728	6.867E+16
520.0	1.841	6.915E+16
521.0	1.875	6.965E+16
522.0	1.899	7.014E+16
523.0	1.833	7.063E+16
524.0	1.921	7.113E+16
525.0	1.924	7.164E+16
526.0	1.849	7.213E+16
527.0	1.699	7.258E+16
528.0	1.861	7.308E+16
529.0	1.949	7.359E+16
530.0	1.914	7.410E+16
531.0	1.981	7.463E+16
532.0	1.939	7.515E+16
533.0	1.791	7.563E+16
534.0	1.859	7.613E+16
535.0	1.905	7.665E+16
536.0	1.943	7.717E+16
537.0	1.850	7.767E+16
538.0	1.893	7.818E+16
539.0	1.859	7.869E+16
540.0	1.799	7.917E+16
541.0	1.759	7.965E+16
542.0	1.865	8.016E+16
543.0	1.864	8.067E+16
544.0	1.905	8.119E+16
545.0	1.875	8.171E+16
546.0	1.864	8.222E+16
547.0	1.871	8.273E+16
548.0	1.843	8.324E+16
549.0	1.871	8.376E+16
550.0	1.863	8.427E+16
551.0	1.865	8.479E+16
552.0	1.888	8.531E+16
553.0	1.853	8.583E+16
554.0	1.876	8.635E+16
555.0	1.885	8.688E+16
556.0	1.858	8.740E+16
557.0	1.821	8.791E+16
558.0	1.834	8.842E+16
559.0	1.775	8.892E+16
